"rank","title","imdbid","dbid"
"1","The Shawshank Redemption","tt0111161","1292052"
"2","The Godfather","tt0068646","1291841"
"3","The Godfather: Part II","tt0071562","1299131"
"4","The Dark Knight","tt0468569","1851857"
"5","12 Angry Men","tt0050083","1293182"
"6","Schindler's List","tt0108052","1295124"
"7","The Lord of the Rings: The Return of the King","tt0167260","1291552"
"8","Pulp Fiction","tt0110912","1291832"
"9","The Good, the Bad and the Ugly","tt0060196","1401118"
"10","Fight Club","tt0137523","1292000"
"11","The Lord of the Rings: The Fellowship of the Ring","tt0120737","1291571"
"12","Forrest Gump","tt0109830","1292720"
"13","Star Wars: Episode V - The Empire Strikes Back","tt0080684","1296528"
"14","Inception","tt1375666","3541415"
"15","The Lord of the Rings: The Two Towers","tt0167261","1291572"
"16","One Flew Over the Cuckoo's Nest","tt0073486","1292224"
"17","Goodfellas","tt0099685","1292268"
"18","The Matrix","tt0133093","1291843"
"19","Seven Samurai","tt0047478","1295399"
"20","City of God","tt0317248","1292208"
"21","Star Wars: Episode IV - A New Hope","tt0076759","1293838"
"22","Se7en","tt0114369","1292223"
"23","The Silence of the Lambs","tt0102926","1293544"
"24","It's a Wonderful Life","tt0038650","1293749"
"25","Life Is Beautiful","tt0118799","1292063"
"26","The Usual Suspects","tt0114814","1292214"
"27","Spirited Away","tt0245429","1291561"
"28","Saving Private Ryan","tt0120815","1292849"
"29","Léon: The Professional","tt0110413","1295644"
"30","The Green Mile","tt0120689","1300374"
"31","Interstellar","tt0816692","1889243"
"32","American History X","tt0120586","1293527"
"33","Psycho","tt0054215","1293181"
"34","City Lights","tt0021749","1293908"
"35","Once Upon a Time in the West","tt0064116","1293394"
"36","Casablanca","tt0034583","1296753"
"37","Modern Times","tt0027977","1294371"
"38","The Intouchables","tt1675434","6786002"
"39","The Pianist","tt0253474","1296736"
"40","The Departed","tt0407887","1315316"
"41","Terminator 2","tt0103064","1291844"
"42","Back to the Future","tt0088763","1300555"
"43","Rear Window","tt0047396","1299080"
"44","Whiplash","tt2582802","25773932"
"45","Raiders of the Lost Ark","tt0082971","1296717"
"46","Avengers: Infinity War","tt4154756","24773958"
"47","Gladiator","tt0172495","1293530"
"48","The Lion King","tt0110357","1301753"
"49","The Prestige","tt0482571","1780330"
"50","Memento","tt0209144","1304447"
"51","Apocalypse Now","tt0078788","1292260"
"52","Alien","tt0078748","1300868"
"53","The Great Dictator","tt0032553","1295646"
"54","Cinema Paradiso","tt0095765","1291828"
"55","Grave of the Fireflies","tt0095327","1293318"
"56","Sunset Boulevard","tt0043014","1298733"
"57","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","tt0057012","1322848"
"58","The Lives of Others","tt0405094","1900841"
"59","Paths of Glory","tt0050825","1292969"
"60","The Shining","tt0081505","1292225"
"61","Django Unchained","tt1853728","6307447"
"62","WALL·E","tt0910970","2131459"
"63","Princess Mononoke","tt0119698","1297359"
"64","Coco","tt2380307","20495023"
"65","Witness for the Prosecution","tt0051201","1296141"
"66","American Beauty","tt0169547","1292062"
"67","The Dark Knight Rises","tt1345836","3395373"
"68","Oldboy","tt0364569","1308865"
"69","Aliens","tt0090605","1293792"
"70","Once Upon a Time in America","tt0087843","1292262"
"71","Das Boot","tt0082096","1293909"
"72","Citizen Kane","tt0033467","1292288"
"73","Braveheart","tt0112573","1294639"
"74","Vertigo","tt0052357","1297294"
"75","North by Northwest","tt0053125","1295872"
"76","Reservoir Dogs","tt0105236","1299603"
"77","Your Name.","tt5311514","26683290"
"78","Star Wars: Episode VI - Return of the Jedi","tt0086190","1297151"
"79","M","tt0022100","1293381"
"80","Dangal","tt5074352","26387939"
"81","Requiem for a Dream","tt0180093","1292270"
"82","Amadeus","tt0086879","1293399"
"83","Like Stars on Earth","tt0986264","2363506"
"84","Lawrence of Arabia","tt0056172","1292349"
"85","A Clockwork Orange","tt0066921","1292233"
"86","Eternal Sunshine of the Spotless Mind","tt0338013","1308777"
"87","Amélie","tt0211915","1292215"
"88","Double Indemnity","tt0036775","1293226"
"89","2001: A Space Odyssey","tt0062622","1292226"
"90","3 Idiots","tt1187043","3793023"
"91","Taxi Driver","tt0075314","1292222"
"92","Toy Story","tt0114709","1291575"
"93","Singin' in the Rain","tt0045152","1293460"
"94","Full Metal Jacket","tt0093058","1300055"
"95","Inglourious Basterds","tt0361748","1438652"
"96","To Kill a Mockingbird","tt0056592","1297991"
"97","Bicycle Thieves","tt0040522","1295873"
"98","The Kid","tt0012349","1293270"
"99","The Sting","tt0070735","1292269"
"100","Toy Story 3","tt0435761","1858711"
"101","Good Will Hunting","tt0119217","1292656"
"102","The Hunt","tt2106476","6985810"
"103","Snatch","tt0208092","1301171"
"104","Monty Python and the Holy Grail","tt0071853","1294917"
"105","Scarface","tt0086250","1292065"
"106","For a Few Dollars More","tt0059578","1295586"
"107","L.A. Confidential","tt0119488","1292348"
"108","The Apartment","tt0053604","1394218"
"109","Metropolis","tt0017136","1298107"
"110","A Separation","tt1832382","5964718"
"111","Indiana Jones and the Last Crusade","tt0097576","1293471"
"112","Rashomon","tt0042876","1291879"
"113","Up","tt1049413","2129039"
"114","All About Eve","tt0042192","1401385"
"115","Yojimbo","tt0055630","1292515"
"116","Batman Begins","tt0372784","1309069"
"117","Some Like It Hot","tt0053291","1292574"
"118","Unforgiven","tt0105695","1293566"
"119","Downfall","tt0363163","1309115"
"120","The Treasure of the Sierra Madre","tt0040897","1292516"
"121","Die Hard","tt0095016","1292697"
"122","Heat","tt0113277","1295686"
"123","Raging Bull","tt0081398","1293155"
"124","Ikiru","tt0044741","1293847"
"125","The Great Escape","tt0057115","1294947"
"126","My Father and My Son","tt0476735","1793200"
"127","Incendies","tt1255953","4935242"
"128","Children of Heaven","tt0118849","1303021"
"129","Pan's Labyrinth","tt0457430","1767042"
"130","The Third Man","tt0041959","1295451"
"131","Chinatown","tt0071315","1293889"
"132","My Neighbor Totoro","tt0096283","1291560"
"133","Ran","tt0089881","1296196"
"134","Judgment at Nuremberg","tt0055031","1292589"
"135","Howl's Moving Castle","tt0347149","1308807"
"136","The Secret in Their Eyes","tt1305806","4066125"
"137","The Gold Rush","tt0015864","1298817"
"138","Three Billboards Outside Ebbing, Missouri","tt5027774","26611804"
"139","The Bridge on the River Kwai","tt0050212","1294958"
"140","On the Waterfront","tt0047296","1292521"
"141","A Beautiful Mind","tt0268978","1306029"
"142","Lock, Stock and Two Smoking Barrels","tt0120735","1293350"
"143","Casino","tt0112641","1299799"
"144","The Seventh Seal","tt0050976","1293234"
"145","Inside Out","tt2096673","10533913"
"146","Room","tt3170832","25724855"
"147","Mr. Smith Goes to Washington","tt0031679","1297127"
"148","The Elephant Man","tt0080678","1293200"
"149","The Wolf of Wall Street","tt0993846","2997076"
"150","V for Vendetta","tt0434409","1309046"
"151","Warrior","tt1291584","3217169"
"152","Blade Runner","tt0083658","1291839"
"153","The General","tt0017925","1292778"
"154","Wild Strawberries","tt0050986","1293071"
"155","Dial M for Murder","tt0046912","1301231"
"156","Trainspotting","tt0117951","1292528"
"157","No Country for Old Men","tt0477348","1857099"
"158","There Will Be Blood","tt0469494","1945780"
"159","Gone with the Wind","tt0031381","1300267"
"160","The Sixth Sense","tt0167404","1297630"
"161","Fargo","tt0116282","1292067"
"162","Gran Torino","tt1205489","3026357"
"163","The Thing","tt0084787","1296794"
"164","The Deer Hunter","tt0077416","1292403"
"165","Finding Nemo","tt0266543","1291586"
"166","Sherlock Jr.","tt0015324","1303408"
"167","Come and See","tt0091251","1422186"
"168","The Big Lebowski","tt0118715","1300044"
"169","Kill Bill: Vol. 1","tt0266697","1291580"
"170","Shutter Island","tt1130884","2334904"
"171","Cool Hand Luke","tt0061512","1293698"
"172","Rebecca","tt0032976","1293824"
"173","Tokyo Story","tt0046438","1291568"
"174","Sunrise","tt0018455","1295753"
"175","Hacksaw Ridge","tt2119532","26325320"
"176","Mary and Max","tt0978762","3072124"
"177","How to Train Your Dragon","tt0892769","2353023"
"178","Gone Girl","tt2267998","21318488"
"179","Wild Tales","tt3011894","24750126"
"180","Into the Wild","tt0758758","1905462"
"181","Jurassic Park","tt0107290","1292523"
"182","Life of Brian","tt0079470","1292881"
"183","The Bandit","tt0116231","2066486"
"184","It Happened One Night","tt0025316","1295684"
"185","In the Name of the Father","tt0107207","1297009"
"186","Platoon","tt0091763","1293396"
"187","Stand by Me","tt0092005","1292925"
"188","The Grand Budapest Hotel","tt2278388","11525673"
"189","Network","tt0074958","1297531"
"190","The Truman Show","tt0120382","1292064"
"191","Andrei Rublev","tt0060107","1298248"
"192","Stalker","tt0079944","1295656"
"193","Hotel Rwanda","tt0395169","1291822"
"194","Persona","tt0060827","1294438"
"195","Ben-Hur","tt0052618","1293150"
"196","Rang De Basanti","tt0405508","1889053"
"197","Memories of Murder","tt0353969","1300299"
"198","The Wages of Fear","tt0046268","1299932"
"199","The Passion of Joan of Arc","tt0019254","1293783"
"200","12 Years a Slave","tt2024544","6879185"
"201","Rush","tt1979320","6803494"
"202","Million Dollar Baby","tt0405159","1309016"
"203","Mad Max: Fury Road","tt1392190","3592854"
"204","Before Sunrise","tt0112471","1296339"
"205","The 400 Blows","tt0053198","1300056"
"206","Spotlight","tt1895587","25954475"
"207","Logan","tt3315342","25765735"
"208","Amores Perros","tt0245712","1292216"
"209","Hachi: A Dog's Tale","tt1028532","3011091"
"210","Prisoners","tt1392214","3592859"
"211","The Princess Bride","tt0093779","1297280"
"212","Nausicaä of the Valley of the Wind","tt0087544","1291585"
"213","Butch Cassidy and the Sundance Kid","tt0064115","1297602"
"214","Catch Me If You Can","tt0264464","1305487"
"215","Harry Potter and the Deathly Hallows: Part 2","tt1201607","3011235"
"216","Rocky","tt0075148","1295742"
"217","Barry Lyndon","tt0072684","1292472"
"218","The Maltese Falcon","tt0033870","1297874"
"219","Monsters, Inc.","tt0198781","1291579"
"220","The Grapes of Wrath","tt0032551","1292465"
"221","Blade Runner 2049","tt1856101","10512661"
"222","Donnie Darko","tt0246578","1306662"
"223","Diabolique","tt0046911","1293213"
"224","Gandhi","tt0083987","1292238"
"225","La La Land","tt3783958","25934014"
"226","The Terminator","tt0088247","1300656"
"227","The Nights of Cabiria","tt0050783","1294781"
"228","Dead Poets Society","tt0097165","1291548"
"229","La Haine","tt0113247","1306449"
"230","Groundhog Day","tt0107048","1300613"
"231","The Wizard of Oz","tt0032138","1292625"
"232","Paper Moon","tt0070510","1303357"
"233","Jaws","tt0073195","1294941"
"234","A Wednesday","tt1280558","3245150"
"235","The Help","tt1454029","3792848"
"236","Gangs of Wasseypur","tt1954470","10605729"
"237","In the Mood for Love","tt0118694","1291557"
"238","Before Sunset","tt0381681","1291990"
"239","The Bourne Ultimatum","tt0440963","1578507"
"240","Paris, Texas","tt0087884","1302061"
"241","Tangerines","tt2991224","24869803"
"242","Touch of Evil","tt0052311","1294756"
"243","Guardians of the Galaxy","tt2015381","7065154"
"244","Three Colors: Red","tt0111495","1292047"
"245","PK","tt2338151","10741643"
"246","Lagaan: Once Upon a Time in India","tt0169102","2254631"
"247","Pirates of the Caribbean: The Curse of the Black Pearl","tt0325980","1298070"
"248","Beauty and the Beast","tt0101414","1297995"
"249","Winter Sleep","tt2758880","21770915"
"250","Fanny and Alexander","tt0083922","1292784"
